"1"	"zagotovki"	"marinovannye-belye-griby-138557"	"Душистый перец горошком"	"5 штук"
"1"	"zagotovki"	"marinovannye-belye-griby-138557"	"Розовый перец"	"щепотка"
"1"	"zagotovki"	"marinovannye-belye-griby-138557"	"Уксус 9%-ный"	"50 мл"
"1"	"zagotovki"	"klubnichnoe-varene-smuzi-s-bananom-93939"	"Клубника"	"1 кг"
"1"	"zagotovki"	"klubnichnoe-varene-smuzi-s-bananom-93939"	"Сахар"	"1 кг"
"1"	"zagotovki"	"klubnichnoe-varene-smuzi-s-bananom-93939"	"Бананы"	"3 штуки"
"1"	"zagotovki"	"lecho-s-pomidorami-93941"	"Помидоры"	"3 кг"
"1"	"zagotovki"	"lecho-s-pomidorami-93941"	"Красный сладкий перец"	"1,5 кг"
"1"	"zagotovki"	"lecho-s-pomidorami-93941"	"Растительное масло"	"200 мл"
"1"	"zagotovki"	"lecho-s-pomidorami-93941"	"Сахар"	"200 г"
"1"	"zagotovki"	"lecho-s-pomidorami-93941"	"Соль"	"2 столовые ложки"
"1"	"zagotovki"	"lecho-s-pomidorami-93941"	"Уксусная эссенция"	"1 чайная ложка"
"1"	"zagotovki"	"malinovyy-dzhem-s-yablochnym-sokom-bez-varki-93942"	"Малина"	"1 кг"
"1"	"zagotovki"	"malinovyy-dzhem-s-yablochnym-sokom-bez-varki-93942"	"Яблочный сок"	"1 стакан"
"1"	"zagotovki"	"malinovyy-dzhem-s-yablochnym-sokom-bez-varki-93942"	"Сахар"	"2 стакана"
"1"	"zagotovki"	"pomidory-marinovannye-s-dushistym-percem-93944"	"Помидоры"	"2 кг"
"1"	"zagotovki"	"pomidory-marinovannye-s-dushistym-percem-93944"	"Соль"	"2 столовые ложки"
"1"	"zagotovki"	"pomidory-marinovannye-s-dushistym-percem-93944"	"Сахар"	"6 столовых ложек"
"1"	"zagotovki"	"pomidory-marinovannye-s-dushistym-percem-93944"	"Уксусная эссенция"	"1 чайная ложка"
"1"	"zagotovki"	"pomidory-marinovannye-s-dushistym-percem-93944"	"Кислота лимонная"	"на кончике ножа"
"1"	"zagotovki"	"pomidory-marinovannye-s-dushistym-percem-93944"	"Душистый перец горошком"	"по вкусу"
"1"	"zagotovki"	"pomidory-marinovannye-s-dushistym-percem-93944"	"Гвоздика"	"по вкусу"
"1"	"zagotovki"	"pomidory-marinovannye-s-dushistym-percem-93944"	"Лавровый лист"	"по вкусу"
"1"	"zagotovki"	"pomidory-marinovannye-s-dushistym-percem-93944"	"Чеснок"	"по вкусу"
"1"	"zagotovki"	"pomidory-marinovannye-s-dushistym-percem-93944"	"Семена укропа"	"по вкусу"
"1"	"zagotovki"	"mochenye-yabloki-s-vishnevymi-listyami-138701"	"Вода"	"5 л"
"1"	"zagotovki"	"mochenye-yabloki-s-vishnevymi-listyami-138701"	"Ржаная мука"	"1 стакан"
"1"	"zagotovki"	"mochenye-yabloki-s-vishnevymi-listyami-138701"	"Горчичный порошок"	"1 чайная ложка"
"1"	"zagotovki"	"mochenye-yabloki-s-vishnevymi-listyami-138701"	"Крупная соль"	"2 столовые ложки"
"1"	"zagotovki"	"mochenye-yabloki-s-vishnevymi-listyami-138701"	"Яблоко"	"2 кг"
"1"	"zagotovki"	"mochenye-yabloki-s-vishnevymi-listyami-138701"	"Листья вишни"	"по вкусу"
"2"	"zagotovki"	"bistroe-drozhzhevoe-testo-dlja-pirozhkov-33833"	"Пшеничная мука"	"2,5 стакана"
"2"	"zagotovki"	"bistroe-drozhzhevoe-testo-dlja-pirozhkov-33833"	"Сахар"	"1 столовая ложка"
"2"	"zagotovki"	"bistroe-drozhzhevoe-testo-dlja-pirozhkov-33833"	"Соль"	"на кончике ножа"
"2"	"zagotovki"	"bistroe-drozhzhevoe-testo-dlja-pirozhkov-33833"	"Растительное масло"	"1 столовая ложка"
"2"	"zagotovki"	"bistroe-drozhzhevoe-testo-dlja-pirozhkov-33833"	"Молоко"	"250 мл"
"2"	"zagotovki"	"bistroe-drozhzhevoe-testo-dlja-pirozhkov-33833"	"Сухие дрожжи"	"5 г"
"2"	"zagotovki"	"malosolnye-kornishony-136875"	"Огурцы"	"1 кг"
"2"	"zagotovki"	"malosolnye-kornishony-136875"	"Вода"	"1,5 л"
"2"	"zagotovki"	"malosolnye-kornishony-136875"	"Соль"	"2 столовые ложки"
"2"	"zagotovki"	"malosolnye-kornishony-136875"	"Сахар"	"2 столовые ложки"
"2"	"zagotovki"	"malosolnye-kornishony-136875"	"Уксус"	"1 чайная ложка"
"2"	"zagotovki"	"malosolnye-kornishony-136875"	"Укроп"	"по вкусу"
"2"	"zagotovki"	"malosolnye-kornishony-136875"	"Петрушка"	"по вкусу"
"2"	"zagotovki"	"malosolnye-kornishony-136875"	"Душистый перец горошком"	"по вкусу"
"2"	"zagotovki"	"malosolnye-kornishony-136875"	"Листья черной смородины"	"по вкусу"
"2"	"zagotovki"	"malosolnye-ogurcy-s-lavrovym-listom-i-ukropom-137000"	"Огурцы"	"3 кг"
"2"	"zagotovki"	"malosolnye-ogurcy-s-lavrovym-listom-i-ukropom-137000"	"Вода"	"3 л"
"2"	"zagotovki"	"malosolnye-ogurcy-s-lavrovym-listom-i-ukropom-137000"	"Соль"	"4 столовые ложки"
"2"	"zagotovki"	"malosolnye-ogurcy-s-lavrovym-listom-i-ukropom-137000"	"Сахар"	"4 столовые ложки"
"2"	"zagotovki"	"malosolnye-ogurcy-s-lavrovym-listom-i-ukropom-137000"	"Черный перец горошком"	"по вкусу"
"2"	"zagotovki"	"malosolnye-ogurcy-s-lavrovym-listom-i-ukropom-137000"	"Лавровый лист"	"по вкусу"
"2"	"zagotovki"	"malosolnye-ogurcy-s-lavrovym-listom-i-ukropom-137000"	"Укроп"	"по вкусу"
"2"	"zagotovki"	"mjatno-abrikosovoe-varene-51627"	"Абрикосы"	"1 кг"
